date,product_id,product_name,category,region,units_sold,unit_price,market_trend_index,is_holiday,flu_alert_level,economic_index
2023-01-01,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,1149,1.25,1.12,0,Low,96.56
2023-01-01,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,958,1.25,0.92,0,Medium,102.08
2023-01-01,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,859,0.85,0.95,0,Low,100.25
2023-01-01,DRUG002,Amoxicillin 500mg,Pharmaceuticals,Europe,1162,0.85,1.03,0,Medium,96.39
2023-01-01,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,North America,727,25.0,1.04,0,Low,100.14
2023-01-01,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,Europe,576,25.0,1.08,0,Medium,96.71
2023-01-01,SUPP001,Surgical Masks Box,Medical Supplies,North America,819,10.0,1.11,0,Low,99.95
2023-01-01,SUPP001,Surgical Masks Box,Medical Supplies,Europe,912,10.0,0.91,1,Low,101.63
2023-01-01,SUPP002,Surgical Gloves Box,Medical Supplies,North America,1062,12.5,1.06,0,High,102.75
2023-01-01,SUPP002,Surgical Gloves Box,Medical Supplies,Europe,412,12.5,1.18,0,Medium,104.22
2023-01-02,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,965,1.25,1.02,0,High,98.57
2023-01-02,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,909,1.25,0.98,0,Low,103.02
2023-01-02,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,796,0.85,0.9,0,Medium,102.29
2023-01-02,DRUG002,Amoxicillin 500mg,Pharmaceuticals,Europe,1183,0.85,1.13,0,Low,96.16
2023-01-02,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,North America,1099,25.0,1.0,0,Low,98.25
2023-01-02,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,Europe,1292,25.0,1.12,0,High,99.72
2023-01-02,SUPP001,Surgical Masks Box,Medical Supplies,North America,1108,10.0,1.13,0,Medium,99.94
2023-01-02,SUPP001,Surgical Masks Box,Medical Supplies,Europe,806,10.0,1.06,0,Low,96.08
2023-01-02,SUPP002,Surgical Gloves Box,Medical Supplies,North America,1026,12.5,0.99,0,High,97.49
2023-01-02,SUPP002,Surgical Gloves Box,Medical Supplies,Europe,910,12.5,1.02,0,Low,95.77
2023-01-03,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,757,1.25,1.18,0,Medium,103.71
2023-01-03,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,849,1.25,1.14,0,High,100.39
2023-01-03,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,789,0.85,0.97,0,High,103.61
2023-01-03,DRUG002,Amoxicillin 500mg,Pharmaceuticals,Europe,901,0.85,0.9,0,Medium,97.22
2023-01-03,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,North America,897,25.0,1.18,0,Medium,102.03
2023-01-03,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,Europe,759,25.0,1.01,1,High,97.52
2023-01-03,SUPP001,Surgical Masks Box,Medical Supplies,North America,424,10.0,0.99,0,Medium,100.03
2023-01-03,SUPP001,Surgical Masks Box,Medical Supplies,Europe,992,10.0,0.92,0,High,97.4
2023-01-03,SUPP002,Surgical Gloves Box,Medical Supplies,North America,989,12.5,1.2,0,Medium,102.62
2023-01-03,SUPP002,Surgical Gloves Box,Medical Supplies,Europe,649,12.5,0.97,0,Low,101.32
2023-01-04,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,1176,1.25,0.93,0,Low,96.87
2023-01-04,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,1657,1.25,0.91,0,Medium,95.17
2023-01-04,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,534,0.85,1.09,0,Medium,98.87
2023-01-04,DRUG002,Amoxicillin 500mg,Pharmaceuticals,Europe,1020,0.85,1.18,0,Low,96.13
2023-01-04,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,North America,1244,25.0,1.15,0,Medium,97.42
2023-01-04,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,Europe,630,25.0,0.93,0,High,101.33
2023-01-04,SUPP001,Surgical Masks Box,Medical Supplies,North America,628,10.0,1.12,0,High,102.8
2023-01-04,SUPP001,Surgical Masks Box,Medical Supplies,Europe,603,10.0,1.09,0,Low,103.99
2023-01-04,SUPP002,Surgical Gloves Box,Medical Supplies,North America,1087,12.5,0.9,0,Medium,101.92
2023-01-04,SUPP002,Surgical Gloves Box,Medical Supplies,Europe,785,12.5,1.1,0,Medium,97.37
2023-01-05,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,1347,1.25,1.09,0,Medium,100.68
2023-01-05,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,753,1.25,0.93,0,Low,97.44
2023-01-05,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,976,0.85,1.17,0,Medium,100.03
2023-01-05,DRUG002,Amoxicillin 500mg,Pharmaceuticals,Europe,1102,0.85,1.07,0,Low,102.22
2023-01-05,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,North America,678,25.0,1.18,1,High,98.7
2023-01-05,DRUG003,Insulin Glargine 10ml,Pharmaceuticals,Europe,1144,25.0,0.9,1,Medium,104.67
2023-01-05,SUPP001,Surgical Masks Box,Medical Supplies,North America,745,10.0,1.16,0,Low,100.57
2023-01-05,SUPP001,Surgical Masks Box,Medical Supplies,Europe,545,10.0,1.18,0,Medium,95.97
2023-01-05,SUPP002,Surgical Gloves Box,Medical Supplies,North America,1017,12.5,1.16,0,Medium,102.02
2023-01-05,SUPP002,Surgical Gloves Box,Medical Supplies,Europe,657,12.5,1.01,0,High,103.1
2023-01-06,DRUG001,Atorvastatin 20mg,Pharmaceuticals,North America,1154,1.25,1.14,0,Medium,102.96
2023-01-06,DRUG001,Atorvastatin 20mg,Pharmaceuticals,Europe,2155,1.25,1.17,0,Low,95.94
2023-01-06,DRUG002,Amoxicillin 500mg,Pharmaceuticals,North America,854,0.85,1.04,0,Low,100.91
